2023-03-08 00:16:56,058 INFO INTERNAL EVENT, global time: 1, local logical clock time:    1
2023-03-08 00:16:56,064 INFO RECEIVED MESSAGE:            1, global time: 1, local logical clock time: 4, message queue length: 1
2023-03-08 00:16:56,069 INFO RECEIVED MESSAGE:            3, global time: 2, local logical clock time: 5, message queue length: 0
2023-03-08 00:16:56,075 INFO RECEIVED MESSAGE:            8, global time: 2, local logical clock time: 9, message queue length: 0
2023-03-08 00:16:56,081 INFO RECEIVED MESSAGE:            10, global time: 3, local logical clock time: 11, message queue length: 0
2023-03-08 00:16:56,087 INFO RECEIVED MESSAGE:            10, global time: 3, local logical clock time: 12, message queue length: 0
2023-03-08 00:16:56,093 INFO SENT MESSAGE:                17, TO: 7977, global time:       4, local logical clock time: 17
2023-03-08 00:16:56,098 INFO RECEIVED MESSAGE:            17, global time: 4, local logical clock time: 18, message queue length: 0
2023-03-08 00:16:56,104 INFO RECEIVED MESSAGE:            21, global time: 5, local logical clock time: 22, message queue length: 0
2023-03-08 00:16:56,110 INFO RECEIVED MESSAGE:            24, global time: 5, local logical clock time: 25, message queue length: 0
2023-03-08 00:16:56,115 INFO RECEIVED MESSAGE:            25, global time: 6, local logical clock time: 27, message queue length: 1
2023-03-08 00:16:56,121 INFO RECEIVED MESSAGE:            26, global time: 6, local logical clock time: 31, message queue length: 2
2023-03-08 00:16:56,127 INFO RECEIVED MESSAGE:            29, global time: 7, local logical clock time: 32, message queue length: 1
2023-03-08 00:16:56,133 INFO RECEIVED MESSAGE:            30, global time: 7, local logical clock time: 34, message queue length: 1
2023-03-08 00:16:56,138 INFO RECEIVED MESSAGE:            33, global time: 8, local logical clock time: 35, message queue length: 0
2023-03-08 00:16:56,144 INFO RECEIVED MESSAGE:            40, global time: 8, local logical clock time: 41, message queue length: 0
2023-03-08 00:16:56,150 INFO SENT MESSAGE:                42, TO: 7977, 7979, global time:       9, local logical clock time: 42
2023-03-08 00:16:56,156 INFO SENT MESSAGE:                43, TO: 7977, 7979, global time:       9, local logical clock time: 43
2023-03-08 00:16:56,162 INFO RECEIVED MESSAGE:            1, global time: 10, local logical clock time: 50, message queue length: 2
2023-03-08 00:16:56,168 INFO RECEIVED MESSAGE:            48, global time: 10, local logical clock time: 52, message queue length: 2
2023-03-08 00:16:56,174 INFO RECEIVED MESSAGE:            49, global time: 11, local logical clock time: 53, message queue length: 2
2023-03-08 00:16:56,180 INFO RECEIVED MESSAGE:            51, global time: 11, local logical clock time: 58, message queue length: 3
2023-03-08 00:16:56,186 INFO RECEIVED MESSAGE:            52, global time: 12, local logical clock time: 60, message queue length: 3
2023-03-08 00:16:56,191 INFO RECEIVED MESSAGE:            56, global time: 12, local logical clock time: 63, message queue length: 3
2023-03-08 00:16:56,197 INFO RECEIVED MESSAGE:            57, global time: 13, local logical clock time: 64, message queue length: 2
2023-03-08 00:16:56,203 INFO RECEIVED MESSAGE:            59, global time: 13, local logical clock time: 65, message queue length: 1
2023-03-08 00:16:56,209 INFO RECEIVED MESSAGE:            62, global time: 14, local logical clock time: 72, message queue length: 1
2023-03-08 00:16:56,214 INFO RECEIVED MESSAGE:            71, global time: 14, local logical clock time: 74, message queue length: 1
2023-03-08 00:16:56,220 INFO RECEIVED MESSAGE:            73, global time: 15, local logical clock time: 75, message queue length: 1
2023-03-08 00:16:56,226 INFO RECEIVED MESSAGE:            74, global time: 15, local logical clock time: 76, message queue length: 0
2023-03-08 00:16:56,232 INFO SENT MESSAGE:                77, TO: 7977, global time:       16, local logical clock time: 77
2023-03-08 00:16:56,238 INFO RECEIVED MESSAGE:            82, global time: 16, local logical clock time: 83, message queue length: 0
2023-03-08 00:16:56,244 INFO RECEIVED MESSAGE:            85, global time: 17, local logical clock time: 87, message queue length: 1
2023-03-08 00:16:56,250 INFO RECEIVED MESSAGE:            86, global time: 17, local logical clock time: 90, message queue length: 1
2023-03-08 00:16:56,256 INFO RECEIVED MESSAGE:            89, global time: 18, local logical clock time: 93, message queue length: 2
2023-03-08 00:16:56,261 INFO RECEIVED MESSAGE:            90, global time: 18, local logical clock time: 95, message queue length: 3
2023-03-08 00:16:56,267 INFO RECEIVED MESSAGE:            92, global time: 19, local logical clock time: 97, message queue length: 4
2023-03-08 00:16:56,273 INFO RECEIVED MESSAGE:            93, global time: 19, local logical clock time: 98, message queue length: 3
2023-03-08 00:16:56,279 INFO RECEIVED MESSAGE:            94, global time: 20, local logical clock time: 103, message queue length: 3
2023-03-08 00:16:56,285 INFO RECEIVED MESSAGE:            95, global time: 20, local logical clock time: 106, message queue length: 4
2023-03-08 00:16:56,291 INFO RECEIVED MESSAGE:            96, global time: 21, local logical clock time: 109, message queue length: 4
2023-03-08 00:16:56,297 INFO RECEIVED MESSAGE:            102, global time: 21, local logical clock time: 110, message queue length: 4
2023-03-08 00:16:56,303 INFO RECEIVED MESSAGE:            104, global time: 22, local logical clock time: 114, message queue length: 5
